date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:45:18	167760/167760	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Oct%202024%2017:45:17%20GMT	https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c.html	(from )
19:45:18	181/181	---MC-	200	added ('OK')	text/plain	date:Wed,%2016%20Oct%202024%2017:45:18%20GMT	https://www.hotbot.com/robots.txt		(from )
19:45:19	11601/11601	---M--	200	added ('OK')	image/png	etag:%2266f5b503-2d51%22	https://www.hotbot.com/images/apple-touch-icon.png	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/apple-touch-icon.png	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:19	1490/1490	---M--	200	added ('OK')	image/png	etag:%2266f5b503-5d2%22	https://www.hotbot.com/images/favicon-32x32.png	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/favicon-32x32.png	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:20	677/677	---M--	200	added ('OK')	image/png	etag:%2266f5b503-2a5%22	https://www.hotbot.com/images/favicon-16x16.png	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/images/favicon-16x16.png	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:21	326962/326962	---MC-	200	added ('OK')	text/css	date:Mon,%2007%20Jul%202024%2000:00:00%20GMT	https://www.hotbot.com/static/app-bot-29096172.css	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/static/app-bot-29096172.css	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:21	108191/108191	---MC-	200	added ('OK')	application/javascript	date:Mon,%2007%20Jul%202024%2000:00:00%20GMT	https://www.hotbot.com/static/common-29096172.js	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/static/common-29096172.js	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:22	557576/557576	---MC-	200	added ('OK')	application/javascript	date:Mon,%2007%20Jul%202024%2000:00:00%20GMT	https://www.hotbot.com/static/bundle-29096172.js	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/static/bundle-29096172.js	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:22	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2016%20Oct%202024%2017:45:22%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/Users/santi/OneDrive/Desktop/chatbot/www.googletagmanager.com/gtm.75445.delayed	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:23	167457/167457	---MC-	200	added ('OK')	text/html	date:Wed,%2016%20Oct%202024%2017:45:23%20GMT	https://www.hotbot.com/chat/e.link	C:/Users/santi/OneDrive/Desktop/chatbot/www.hotbot.com/chat/e.html	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:24	21733/21733	---MCZ	200	added ('OK')	application/javascript	etag:W/%2254e5-9B9wIDR/rVgHGawGN7EGsWeNk3k%22	https://assistant.hbsvc.com/chat.js?v=29096172	C:/Users/santi/OneDrive/Desktop/chatbot/assistant.hbsvc.com/chat7509.js	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
19:45:24	60681/60681	---MCZ	200	added ('OK')	application/javascript	etag:W/%22ed09-zd0VwrLNjVrcEnVOsKk/iRMlmks%22	https://cdn.jsdelivr.net/npm/moment@2.30.1/moment.min.js	C:/Users/santi/OneDrive/Desktop/chatbot/cdn.jsdelivr.net/npm/moment@2.30.1/moment.min.js	(from https://www.hotbot.com/chat/3f4a930c-164c-474c-9972-030fad9c739c)
